# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov  8 14:40:44 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_radestr not null
# CONSTRAINT:  and pl_massestr not null)
#
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
#
pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
6.120,0.100,-0.100,0,27.00000,14.00000,-12.60000,0
1.725,0.039,-0.039,0,8.21000,0.76000,-0.74000,0
1.712,0.068,-0.068,0,7.72000,0.80000,-0.79000,0
1.520,0.160,-0.160,0,8.36000,0.96000,-0.94000,0
1.820,0.200,-0.140,0,9.00000,1.60000,-1.60000,0
2.836,0.086,-0.073,0,8.90000,2.40000,-2.40000,0
2.770,0.370,-0.230,0,5.70000,6.10000,-6.10000,0
2.500,0.270,-0.260,0,5.80000,3.30000,-3.00000,0
2.332,0.080,-0.094,0,10.40000,1.60000,-1.50000,0
11.781,0.493,-0.493,0,953.49000,349.61300,-381.39600,0
12.442,0.785,-0.785,0,4131.79000,,,1
1.950,0.090,-0.080,0,8.75000,1.09000,-1.08000,0
3.670,0.170,-0.140,0,14.67000,1.84000,-1.89000,0
3.940,0.130,-0.120,0,10.18000,2.46000,-2.42000,0
2.025,0.096,-0.097,0,11.70000,,,1
1.130,0.056,-0.056,0,1.66000,0.23000,-0.23000,0
1.160,0.110,-0.110,0,1.62000,0.55000,-0.55000,0
1.430,0.160,-0.160,0,1.63000,0.54000,-0.54000,0
2.678,0.130,-0.130,0,6.55000,0.98000,-0.98000,0
2.740,0.060,-0.050,0,6.37000,0.87000,-0.87000,0
2.650,0.090,-0.090,0,6.45000,0.91000,-0.91000,0
2.270,0.080,-0.080,0,6.43000,0.86000,-0.86000,0
2.742,0.050,-0.053,0,8.17000,0.43000,-0.43000,0
2.847,0.202,-0.202,0,6.26125,0.85814,-0.85814,0
1.193,0.074,-0.074,0,2.09000,0.56000,-0.56000,0
1.193,0.074,-0.074,0,1.32000,0.28000,-0.28000,0
1.180,0.078,-0.078,0,1.32000,0.28000,-0.28000,0
2.610,0.170,-0.160,0,22.70000,2.20000,-1.90000,0
2.130,0.110,-0.110,0,3.34000,0.72000,-0.72000,0
4.830,0.220,-0.210,0,13.90000,1.50000,-1.40000,0
3.880,0.320,-0.320,0,12.58000,1.31000,-1.28000,0
4.320,0.210,-0.100,0,14.10000,1.30000,-1.30000,0
4.570,0.180,-0.180,0,13.90000,1.50000,-1.50000,0
4.200,0.600,-0.600,0,14.00000,1.70000,-1.70000,0
3.880,0.320,-0.320,0,13.73000,1.61000,-1.61000,0
1.264,0.050,-0.049,0,1.86000,0.30000,-0.30000,0
1.217,0.084,-0.083,0,1.84000,0.31000,-0.31000,0
0.718,0.054,-0.054,0,0.54600,0.07800,-0.07800,0
0.699,0.024,-0.024,0,0.63300,0.05000,-0.05000,0
1.090,0.040,-0.040,0,1.75000,0.44000,-0.45000,0
1.150,0.040,-0.039,0,1.21000,0.40000,-0.42000,0
4.191,0.109,-0.109,0,23.13802,0.76279,-0.76279,0
4.200,0.200,-0.200,0,23.10000,0.90000,-0.90000,0
4.260,,,0,23.20100,,,0
4.091,0.202,-0.202,0,23.42407,1.71628,-1.71628,0
4.100,0.160,-0.160,0,25.40000,2.10000,-2.00000,0
4.222,0.092,-0.103,0,23.16880,0.79450,-0.79450,0
4.170,0.168,-0.168,0,22.10000,2.30000,-2.30000,0
1.305,0.063,-0.067,0,2.82000,0.11000,-0.12000,0
1.577,0.027,-0.031,0,5.14000,0.47000,-0.47000,0
1.571,0.033,-0.039,0,4.89000,0.43000,-0.42000,0
1.580,0.140,-0.130,0,3.69000,0.48000,-0.46000,0
1.620,0.110,-0.110,0,3.42000,1.20000,-0.76000,0
1.577,0.027,-0.031,0,4.91000,0.49000,-0.49000,0
1.241,0.024,-0.026,0,0.84000,,,0
1.269,0.087,-0.089,0,2.42000,0.75000,-0.49000,0
1.241,0.024,-0.026,0,1.30000,,,1
1.240,0.110,-0.110,0,1.45000,0.58000,-0.57000,0
2.022,0.046,-0.043,0,4.04000,0.82000,-0.84000,0
2.040,0.180,-0.180,0,2.35000,0.70000,-0.68000,0
2.070,0.140,-0.140,0,5.20000,1.80000,-1.20000,0
2.022,0.046,-0.043,0,3.53000,0.87000,-0.88000,0
16.477,1.121,-1.121,0,6261.21962,508.52545,-508.52545,0
51.561,15.693,-15.693,0,9852.73000,3178.30000,-3178.30000,0
33.600,5.600,-5.600,0,6356.00000,,,0
20.176,5.604,-5.604,0,4767.45000,953.49000,-953.49000,0
14.179,1.289,-1.289,0,3591.30000,540.30000,-540.30000,0
13.776,0.235,-0.235,0,533.95172,34.96112,-34.96112,0
14.818,0.146,-0.146,0,259.66581,14.93794,-14.93794,0
14.785,0.213,-0.213,0,168.13207,6.35660,-6.35660,0
13.641,0.437,-0.437,0,166.54292,5.72094,-5.72094,0
13.922,0.594,-0.594,0,166.86075,8.26358,-8.26358,0
14.796,,,0,168.44990,,,0
13.922,0.594,-0.594,0,169.08556,9.53490,-9.53490,0
13.731,0.661,-0.661,0,166.53600,9.85200,-9.85200,0
15.244,1.233,-1.009,0,168.44990,12.71320,-12.71320,0
14.785,0.213,-0.213,0,166.86075,6.03877,-6.03877,0
4.730,0.157,-0.157,0,25.74300,2.86000,-2.86000,0
4.450,0.101,-0.101,0,26.69772,2.22481,-2.22481,0
4.820,0.224,-0.224,0,28.60470,3.17830,-3.17830,0
10.301,0.258,-0.258,0,63.88383,3.49613,-3.49613,0
10.637,0.684,-0.684,0,67.06213,3.81396,-3.81396,0
10.749,0.325,-0.235,0,66.23577,3.05117,-2.98760,0
10.761,,,0,66.74430,,,0
10.749,0.325,-0.235,0,67.05900,3.81400,-3.81400,0
16.668,0.426,-0.426,0,287.95398,7.31009,-7.31009,0
14.258,0.729,-0.729,0,270.46200,12.07700,-12.07700,0
14.359,0.886,-0.886,0,280.64389,8.58141,-14.93801,0
14.359,0.886,-0.886,0,271.09800,9.21700,-14.62000,0
16.668,0.460,-0.460,0,285.72917,9.53490,-9.21707,0
13.451,1.681,-1.681,0,724.65240,22.24810,-22.24810,0
15.917,1.345,-1.345,0,1093.33520,200.23290,-200.23290,0
12.890,0.583,-0.583,0,731.96249,17.16282,-17.16282,0
13.664,0.661,-0.661,0,721.79193,26.37989,-26.37989,0
12.890,0.583,-0.583,0,709.36700,18.75100,-18.75100,0
12.801,0.370,-0.370,0,709.39656,18.43414,-18.43414,0
11.882,0.785,-0.785,0,616.59020,95.34900,-95.34900,0
12.016,0.482,-0.482,0,618.47100,20.97600,-20.97600,0
12.016,0.482,-0.482,0,619.45067,25.42640,-24.79074,0
13.339,0.392,-0.392,0,1331.38987,29.24036,-29.24036,0
14.448,0.740,-0.740,0,1332.60500,29.87500,-29.87500,0
14.448,0.740,-0.740,0,1341.56043,29.24036,-29.24036,0
14.460,,,0,1332.66119,29.87602,-29.87602,0
11.321,0.325,-0.325,0,170.67471,5.40311,-5.40311,0
11.321,0.325,-0.325,0,169.71000,5.72000,-5.72000,0
11.769,0.448,-0.448,0,184.34140,19.06980,-19.06980,0
11.153,0.583,-0.583,0,62.61000,4.13200,-4.13200,0
10.615,0.493,-0.493,0,62.29468,2.54264,-2.54264,0
11.153,0.583,-0.583,0,63.56600,6.03877,-6.03877,0
12.689,0.807,-0.807,0,90.26372,5.08528,-5.08528,0
12.689,0.807,-0.807,0,92.80200,5.72100,-5.72100,0
13.339,1.345,-1.345,0,2777.83420,85.81410,-85.81410,0
11.007,0.426,-1.177,0,2873.18320,158.91500,-158.91500,0
10.660,0.437,-0.594,0,2739.69460,123.95370,-174.80650,0
12.969,0.818,-0.695,0,2888.95000,76.28000,-76.28000,0
11.243,0.942,-0.740,0,2771.47760,123.95370,-114.41880,0
13.451,0.897,-0.897,0,3632.79690,616.59020,-616.59020,0
12.300,,,0,2828.60000,,,0
12.969,0.818,-0.706,0,2765.12100,60.38770,-63.56600,0
11.489,0.594,-0.594,0,2294.73260,114.41880,-114.41880,0
9.750,,,0,2320.10000,,,0
9.718,0.370,-0.370,0,2302.89900,59.43200,-59.43200,0
9.718,0.370,-0.370,0,2310.62410,57.20940,-57.20940,0
11.478,1.031,-1.031,0,1261.78510,41.31790,-41.31790,0
11.478,1.031,-1.031,0,1291.28900,51.16800,-51.16800,0
12.442,1.793,-1.793,0,1547.83210,498.99310,-498.99310,0
12.890,2.130,-2.130,0,785.04010,101.70560,-101.70560,0
11.882,0.829,-0.829,0,696.68336,24.47291,-24.47291,0
12.106,0.650,-0.650,0,682.35200,19.38700,-19.38700,0
12.106,0.650,-0.650,0,682.69884,19.70546,-19.70546,0
12.106,0.650,-0.650,0,690.32676,17.48065,-17.79848,0
15.334,1.009,-1.009,0,664.23700,35.27800,-35.27800,0
15.334,1.009,-1.009,0,626.12510,38.13960,-38.13960,0
15.356,,,0,664.26470,34.96130,-34.96130,0
12.218,2.578,-2.578,0,425.89220,187.51970,-187.51970,0
13.720,0.410,-0.410,0,658.00000,38.00000,-38.00000,0
14.751,,,0,217.71355,10.48839,-10.48839,0
13.922,0.751,-0.751,0,229.79109,9.85273,-9.53490,0
13.922,0.751,-0.751,0,217.70400,10.48800,-10.48800,0
14.572,2.354,-2.354,0,238.37250,79.45750,-79.45750,0
13.339,0.908,-0.628,0,180.20200,6.99200,-6.99200,0
13.339,0.908,-0.628,0,180.20961,6.99226,-6.99226,0
12.722,0.538,-0.538,0,180.84527,7.31009,-6.99226,0
7.062,0.448,-0.448,0,22.24810,6.35660,-6.35660,0
6.333,0.807,-0.359,0,18.75100,2.22500,-2.22500,0
11.433,0.785,-0.673,0,195.78328,9.53490,-9.53490,0
11.430,0.780,-0.670,0,197.05000,9.53000,-9.53000,0
11.635,0.863,-0.650,0,209.75900,10.48790,-10.48790,0
13.585,1.233,-0.919,0,202.45771,11.75971,-11.75971,0
13.585,1.267,-0.919,0,198.95300,11.75900,-11.75900,0
11.926,0.841,-0.762,0,243.77561,14.93801,-14.30235,0
13.115,1.457,-1.457,0,279.69040,79.45750,-79.45750,0
12.408,1.569,-0.919,0,214.85308,11.12405,-10.80622,0
12.408,1.524,-0.919,0,247.26100,24.15400,-12.71300,0
9.976,0.516,-0.516,0,190.38017,8.26358,-8.26358,0
10.077,0.482,-0.549,0,189.42668,7.62792,-8.26358,0
10.536,0.785,-0.785,0,206.58950,34.96130,-34.96130,0
10.211,0.381,-0.381,0,189.10885,7.62792,-7.62792,0
9.976,0.235,-0.325,0,190.38017,8.26358,-8.26358,0
9.270,0.616,-0.616,0,187.83000,5.72100,-5.72100,0
10.615,0.347,-0.347,0,185.61272,8.89924,-8.89924,0
10.077,0.482,-0.549,0,193.55847,6.67443,-6.99226,0
16.466,0.437,-0.415,0,232.96939,7.31009,-7.31009,0
15.020,0.729,-0.729,0,225.96800,8.89900,-8.89900,0
15.020,0.729,-0.729,0,237.10118,6.35660,-6.67443,0
16.141,1.681,-1.681,0,263.79890,57.20940,-57.20940,0
11.994,2.690,-1.793,0,682.38101,28.60470,-24.79074,0
12.218,1.681,-1.681,0,721.47410,266.97720,-266.97720,0
11.990,2.690,-1.790,0,689.98000,33.37100,-24.47200,0
22.194,0.504,-0.504,0,216.12440,34.96130,-31.78300,0
20.131,0.314,-0.303,0,273.33380,52.12412,-52.12412,0
20.053,0.280,-0.280,0,238.37250,41.31790,-41.31790,0
20.053,0.280,-0.280,0,273.32200,52.12200,-52.12200,0
19.616,1.569,-1.569,0,263.79890,66.74430,-66.74430,0
18.898,0.504,-0.504,0,242.17600,32.09900,-32.09900,0
20.737,5.492,-5.492,0,292.40360,158.91500,-158.91500,0
18.898,0.504,-0.504,0,209.76780,44.49620,-44.49620,0
15.132,2.578,-2.578,0,2227.98830,874.03250,-874.03250,0
13.417,1.457,-1.031,0,1058.37390,66.74430,-63.56600,0
13.417,1.435,-1.031,0,1057.69400,67.05900,-67.05900,0
39.792,54.588,-54.588,0,2390.08160,6566.36780,-6566.36780,0
14.930,1.098,-1.098,0,335.62848,10.48839,-10.48839,0
14.930,1.098,-1.098,0,334.97900,10.48800,-10.48800,0
14.168,0.796,-0.796,0,582.24000,31.46400,-31.46400,0
12.890,1.121,-1.121,0,486.27990,101.70560,-101.70560,0
14.314,0.224,-0.224,0,587.41341,27.65121,-27.65121,0
14.617,0.280,-0.280,0,588.62116,30.19385,-30.19385,0
14.168,0.796,-0.796,0,587.98550,31.78300,-31.78300,0
15.211,0.392,-0.381,0,611.82275,27.01555,-25.74423,0
13.204,0.863,-0.863,0,371.52800,32.73500,-32.73500,0
13.204,0.863,-0.863,0,381.39600,38.13960,-34.96130,0
13.798,0.538,-0.482,0,378.21770,34.96130,-34.96130,0
9.247,1.031,-0.706,0,84.86061,6.35660,-6.35660,0
9.247,1.031,-0.706,0,84.85700,6.35600,-6.35600,0
17.609,1.233,-0.908,0,180.84527,28.28687,-34.96130,0
17.609,1.211,-0.908,0,190.37200,31.46400,-31.46400,0
14.280,0.549,-0.673,0,213.25500,10.48800,-13.98400,0
14.235,0.560,-0.560,0,216.12440,12.71320,-12.71320,0
14.280,0.549,-0.673,0,206.90733,10.48839,-11.75971,0
14.930,0.583,-0.583,0,216.12000,12.71000,-12.71000,0
14.986,0.886,-0.404,0,216.12440,14.62018,-9.53490,0
15.323,0.583,-0.493,0,176.71348,21.61244,-21.61244,0
19.392,0.695,-0.695,0,184.65923,10.48839,-10.80622,0
19.392,0.695,-0.695,0,195.45700,12.07700,-12.07700,0
17.038,1.906,-1.906,0,152.55840,41.31790,-41.31790,0
18.887,0.852,-0.572,0,252.67485,17.79848,-28.92253,0
18.887,0.852,-0.572,0,254.26400,31.78300,-31.78300,0
18.887,0.852,-0.572,0,254.25300,32.41700,-32.41700,0
22.978,5.604,-5.604,0,378.21770,190.69800,-190.69800,0
14.348,1.715,-1.715,0,331.80100,26.37900,-26.37900,0
14.348,1.681,-1.681,0,279.69040,44.49620,-41.31790,0
14.359,0.695,-0.370,0,232.01590,101.70560,-44.49620,0
14.359,0.695,-0.370,0,210.39500,19.06900,-19.06900,0
13.922,1.188,-0.572,0,111.87100,9.21700,-9.21700,0
15.984,2.018,-0.975,0,273.33380,34.96130,-38.13960,0
15.984,1.962,-0.975,0,283.49200,43.54100,-31.46400,0
14.392,3.038,-1.491,0,156.68400,26.06100,-16.52600,0
15.838,1.457,-0.863,0,562.55910,69.92260,-69.92260,0
15.838,1.435,-0.863,0,549.82300,65.15200,-65.15200,0
17.822,2.018,-2.018,0,699.22600,187.51970,-187.51970,0
14.056,0.572,-0.628,0,336.89980,34.96130,-34.96130,0
13.563,1.121,-1.121,0,311.47340,63.56600,-63.56600,0
14.120,0.560,-0.560,0,336.89000,34.96000,-34.96000,0
14.056,0.572,-0.628,0,324.18660,31.78300,-31.78300,0
14.437,0.717,-0.717,0,429.07050,23.20159,-23.20159,0
14.437,0.717,-0.717,0,431.93097,22.24810,-27.33338,0
14.493,0.605,-0.605,0,98.20947,5.72094,-5.72094,0
14.493,0.605,-0.605,0,98.84513,6.03877,-6.03877,0
11.310,0.807,-0.807,0,259.98494,9.21707,-9.21707,0
11.310,0.807,-0.807,0,259.66711,13.03103,-12.39537,0
14.773,1.020,-1.020,0,471.65972,17.79848,-17.79848,0
14.773,1.020,-1.020,0,469.43491,13.34886,-13.98452,0
10.581,0.314,-0.314,0,241.55080,10.17056,-10.17056,0
10.581,0.314,-0.314,0,578.45060,731.00900,-311.47340,0
13.249,0.616,-0.616,0,184.97706,17.79848,-17.79848,0
13.249,0.616,-0.616,0,184.34140,16.84499,-17.16282,0
16.432,0.448,-0.448,0,603.87700,69.92260,-88.99240,0
16.432,0.448,-0.448,0,692.86940,79.45750,-79.45750,0
16.926,1.233,-1.233,0,734.18730,139.84520,-139.84520,0
15.838,0.605,-0.605,0,587.98550,,,1
19.504,4.035,-4.035,0,448.14030,483.10160,-483.10160,0
14.930,0.482,-0.482,0,118.23217,9.53485,-9.53485,0
12.588,0.146,-0.146,0,489.45575,21.29450,-21.29450,0
14.908,0.684,-0.684,0,335.93200,37.82000,-37.82000,0
